,RMSE
"(0, 0, 0)",5061.6178133100275
"(0, 0, 1)",5030.8106534335875
"(0, 0, 2)",4993.790595385794
"(0, 0, 3)",4970.84799182825
"(0, 0, 4)",4953.642715328083
"(0, 0, 5)",4936.77825586636
"(0, 0, 6)",4913.319945072261
"(0, 0, 7)",4896.806988685502
"(0, 1, 0)",1416.9904532023736
"(0, 1, 1)",1419.8776650287814
"(0, 1, 2)",1433.8958545903913
"(0, 1, 3)",1444.7292408826893
"(0, 1, 4)",1568.238163590438
"(0, 1, 5)",1518.702003468904
"(0, 1, 6)",1611.6782824234376
"(0, 1, 7)",1640.6855068587447
"(1, 0, 0)",3095.377635193501
"(1, 0, 1)",2136.440520336792
"(1, 0, 2)",2217.710690518
"(1, 0, 3)",1893.4773648458377
"(1, 0, 4)",1912.1187224218058
"(1, 0, 5)",1863.9859815577754
"(1, 0, 6)",2011.135489458108
"(1, 0, 7)",1787.2215953773173
"(1, 1, 0)",1447.8258265132845
"(1, 1, 1)",1436.521646637637
"(1, 1, 2)",1394.8994726073522
"(1, 1, 3)",1418.3878700918222
"(1, 1, 4)",1514.2826201077514
"(1, 1, 5)",1524.0746821369
"(1, 1, 6)",1674.9863432432867
"(1, 1, 7)",1677.4970908310024
"(2, 0, 0)",2375.969316994894
"(2, 0, 1)",2188.606992977602
"(2, 0, 2)",2079.0625328362107
"(2, 0, 3)",2287.0307003378216
"(2, 0, 4)",1831.5557234163118
"(2, 0, 5)",1870.9994744660057
"(2, 0, 6)",2115.318698401723
"(2, 0, 7)",2017.7952554819851
"(2, 1, 0)",1439.0646096125527
"(2, 1, 1)",1458.2693043002248
"(2, 1, 2)",1489.388030936653
"(2, 1, 3)",1490.470793694191
"(2, 1, 4)",1537.5929701865
"(2, 1, 5)",1549.3444092856648
"(2, 1, 6)",1662.4233790863548
"(2, 1, 7)",1685.3645799693331
"(3, 0, 0)",2261.18559087268
"(3, 0, 1)",2293.6911823572395
"(3, 0, 2)",2467.9244822871465
"(3, 0, 3)",2352.35301717394
"(3, 0, 4)",1904.3379554200887
"(3, 0, 5)",1196.7874111763715
"(3, 0, 6)",1999.3360926858984
"(3, 0, 7)",1869.4801681274296
"(3, 1, 0)",1455.8964256221905
"(3, 1, 1)",1484.456940530241
"(3, 1, 2)",1528.4555286783957
"(3, 1, 3)",1567.4951600025831
"(3, 1, 4)",1548.2991309235808
"(3, 1, 5)",706.8530051618831
"(3, 1, 6)",1448.8623854621858
"(3, 1, 7)",1279.253657098851
"(4, 0, 0)",2318.422500021578
"(4, 0, 1)",2385.133841305557
"(4, 0, 2)",2151.8513733353866
"(4, 0, 3)",2652.854206398351
"(4, 0, 4)",2049.876102912435
"(4, 0, 5)",1649.106166158102
"(4, 0, 6)",1330.5295279674208
"(4, 0, 7)",1878.5651710858174
"(4, 1, 0)",1439.5649623476002
"(4, 1, 1)",1603.9973226686745
"(4, 1, 2)",740.2001844569675
"(4, 1, 3)",1299.08003233333
"(4, 1, 4)",1459.510252276626
"(4, 1, 5)",1571.7732131046887
"(4, 1, 6)",1593.272952566512
"(4, 1, 7)",1552.0578106750727
"(5, 0, 0)",2052.627020575256
"(5, 0, 1)",2196.7112178264792
"(5, 0, 2)",2263.541749003777
"(5, 0, 3)",1999.6707101314068
"(5, 0, 4)",2108.2836971899906
"(5, 0, 5)",1764.8086203159698
"(5, 0, 6)",1684.1619343912025
"(5, 0, 7)",1349.0405285751583
"(5, 1, 0)",1437.9146878292272
"(5, 1, 1)",1603.6551280081237
"(5, 1, 2)",737.4049527973091
"(5, 1, 3)",1393.5482893789292
"(5, 1, 4)",1388.2752852155938
"(5, 1, 5)",1602.0342039048676
"(5, 1, 6)",1496.4893235684053
"(5, 1, 7)",1590.5958831445903
"(6, 0, 0)",2108.0174545047903
"(6, 0, 1)",2153.6157007129727
"(6, 0, 2)",1944.4271930626164
"(6, 0, 3)",1877.1768717246844
"(6, 0, 4)",1665.2637912989967
"(6, 0, 5)",2964.3643106004697
"(6, 0, 6)",1698.7724819755404
"(6, 0, 7)",1807.8480419959033
"(6, 1, 0)",1496.5092965945512
"(6, 1, 1)",1641.8356461366077
"(6, 1, 2)",1553.1584862855727
"(6, 1, 3)",1429.2029673860316
"(6, 1, 4)",1480.978923617893
"(6, 1, 5)",1332.3130874453468
"(6, 1, 6)",1422.5672520055107
"(6, 1, 7)",1618.6736190934212
"(7, 0, 0)",1970.3913293722549
"(7, 0, 1)",1878.134171905704
"(7, 0, 2)",1914.6432361760455
"(7, 0, 3)",1610.9420743979308
"(7, 0, 4)",1798.8630261371748
"(7, 0, 5)",2456.1891204676954
"(7, 0, 6)",2843.6418506068007
"(7, 0, 7)",1593.713614446512
"(7, 1, 0)",1523.8589551659893
"(7, 1, 1)",1638.7168089398626
"(7, 1, 2)",1543.4308491344996
"(7, 1, 3)",1557.8606322807248
"(7, 1, 4)",1558.0212700215366
"(7, 1, 5)",1395.2725132375667
"(7, 1, 6)",1417.7521683704936
"(7, 1, 7)",1440.5230880765334
